settlement_date,elexon_bm_unit,national_grid_bm_unit,cluster_key,cluster_label,parent_region,mapping_status,dispatch_half_hour_count,estimated_dispatch_half_hour_count,blocked_dispatch_half_hour_count,accepted_down_delta_mwh_lower_bound,estimated_dispatch_down_mwh_lower_bound,blocked_dispatch_down_mwh_lower_bound,blocked_outage_dispatch_down_mwh_lower_bound,blocked_availability_unknown_dispatch_down_mwh_lower_bound,blocked_physical_below_generation_dispatch_down_mwh_lower_bound,blocked_physical_inconsistent_dispatch_down_mwh_lower_bound,lost_energy_mwh,dispatch_alignment_state,primary_dispatch_block_reason
2024-10-06,T_SGRWO-2,SGRWO-2,east_coast_scotland_offshore,East Coast Scotland Offshore,Scotland,mapped,3,3,0,2.1166666666666667,2.1166666666666667,0.0,0.0,0.0,0.0,0.0,45.790000000000006,fully_estimated,
2024-10-06,T_SGRWO-4,SGRWO-4,east_coast_scotland_offshore,East Coast Scotland Offshore,Scotland,mapped,3,3,0,1.65,1.65,0.0,0.0,0.0,0.0,0.0,99.26429999999979,fully_estimated,
2024-10-06,T_DOREW-1,DOREW-1,,,,unmapped,1,1,0,1.3333333333333333,1.3333333333333333,0.0,0.0,0.0,0.0,0.0,5.519,fully_estimated,
2024-10-06,T_HALSW-1,HALSW-1,,,,unmapped,1,1,0,0.7,0.7,0.0,0.0,0.0,0.0,0.0,5.855,fully_estimated,
2024-10-06,T_VKNGW-3,VKNGW-3,shetland_wind,Shetland Wind,Scotland,mapped,1,1,0,0.65,0.65,0.0,0.0,0.0,0.0,0.0,30.760249999999992,fully_estimated,
2024-10-06,T_VKNGW-4,VKNGW-4,shetland_wind,Shetland Wind,Scotland,mapped,1,1,0,0.6333333333333333,0.6333333333333333,0.0,0.0,0.0,0.0,0.0,24.356250000000003,fully_estimated,
2024-10-06,T_VKNGW-1,VKNGW-1,shetland_wind,Shetland Wind,Scotland,mapped,1,1,0,0.3666666666666666,0.3666666666666666,0.0,0.0,0.0,0.0,0.0,9.566100000000006,fully_estimated,
2024-10-06,T_DOREW-2,DOREW-2,,,,unmapped,1,1,0,0.2833333333333333,0.2833333333333333,0.0,0.0,0.0,0.0,0.0,2.766,fully_estimated,
2024-10-06,T_VKNGW-2,VKNGW-2,shetland_wind,Shetland Wind,Scotland,mapped,1,1,0,0.2166666666666666,0.2166666666666666,0.0,0.0,0.0,0.0,0.0,7.372199999999999,fully_estimated,
2024-10-07,T_MOWEO-1,MOWEO-1,moray_firth_offshore,Moray Firth Offshore,Scotland,mapped,2,0,2,7.2,0.0,7.2,7.2,0.0,0.0,0.0,0.0,fully_blocked,outage
2024-10-07,T_MOWEO-2,MOWEO-2,moray_firth_offshore,Moray Firth Offshore,Scotland,mapped,1,0,1,1.6333333333333333,0.0,1.6333333333333333,1.6333333333333333,0.0,0.0,0.0,0.0,fully_blocked,outage
2024-10-07,T_VKNGW-1,VKNGW-1,shetland_wind,Shetland Wind,Scotland,mapped,4,3,1,1.2999999999999998,0.6666666666666666,0.6333333333333333,0.0,0.0,0.6333333333333333,0.0,66.74810000000001,partially_blocked,physical_below_generation
2024-10-07,T_VKNGW-2,VKNGW-2,shetland_wind,Shetland Wind,Scotland,mapped,5,4,1,1.6166666666666667,1.0666666666666667,0.55,0.0,0.0,0.55,0.0,64.529,partially_blocked,physical_below_generation
2024-10-07,T_DOREW-1,DOREW-1,,,,unmapped,1,0,1,0.15,0.0,0.15,0.0,0.0,0.15,0.0,0.0,fully_blocked,physical_below_generation
2024-10-07,T_DOREW-2,DOREW-2,,,,unmapped,1,0,1,0.1,0.0,0.1,0.0,0.0,0.1,0.0,0.0,fully_blocked,physical_below_generation
2024-10-07,T_KYPEW-1,KYPEW-1,,,,unmapped,3,1,2,0.1166666666666666,0.0333333333333333,0.0833333333333333,0.0,0.0,0.0833333333333333,0.0,0.5469999999999999,partially_blocked,physical_below_generation
2024-10-07,T_KENNW-1,KENNW-1,,,,unmapped,3,2,1,0.1666666666666666,0.1,0.0666666666666666,0.0,0.0,0.0666666666666666,0.0,2.255,partially_blocked,physical_below_generation
2024-10-07,T_HALSW-1,HALSW-1,,,,unmapped,1,1,0,0.6333333333333333,0.6333333333333333,0.0,0.0,0.0,0.0,0.0,2.592,fully_estimated,
2024-10-07,T_GORDW-2,GORDW-2,,,,unmapped,1,1,0,0.4,0.4,0.0,0.0,0.0,0.0,0.0,6.384,fully_estimated,
2024-10-07,T_VKNGW-3,VKNGW-3,shetland_wind,Shetland Wind,Scotland,mapped,2,2,0,0.3166666666666666,0.3166666666666666,0.0,0.0,0.0,0.0,0.0,40.883,fully_estimated,
2024-10-07,E_BTUIW-3,BTUIW-3,,,,unmapped,3,3,0,0.29999999999999993,0.29999999999999993,0.0,0.0,0.0,0.0,0.0,5.800000000000001,fully_estimated,
2024-10-07,T_SGRWO-5,SGRWO-5,east_coast_scotland_offshore,East Coast Scotland Offshore,Scotland,mapped,1,1,0,0.2666666666666666,0.2666666666666666,0.0,0.0,0.0,0.0,0.0,11.3594,fully_estimated,
2024-10-07,T_VKNGW-4,VKNGW-4,shetland_wind,Shetland Wind,Scotland,mapped,2,2,0,0.25,0.25,0.0,0.0,0.0,0.0,0.0,36.55080000000001,fully_estimated,
