settlement_date,settlement_period,interval_start_local,interval_end_local,interval_start_utc,interval_end_utc,source_key,source_label,target_is_proxy,elexon_bm_unit,national_grid_bm_unit,bm_unit_name,lead_party_name,fuel_type,bm_unit_type,gsp_group_id,gsp_group_name,generation_capacity_mw,mapping_status,mapping_confidence,mapping_rule,cluster_key,cluster_label,parent_region,generation_mwh,pn_level_from_mw,pn_level_to_mw,pn_mean_mw,pn_mwh,qpn_level_from_mw,qpn_level_to_mw,qpn_mean_mw,qpn_mwh,mils_level_from_mw,mils_level_to_mw,mils_mean_mw,mils_mwh,mels_level_from_mw,mels_level_to_mw,mels_mean_mw,mels_mwh,physical_baseline_source_dataset,physical_baseline_mwh,physical_consistency_flag,counterfactual_method,counterfactual_valid_flag
2024-10-02,20,2024-10-02 09:30:00+01:00,2024-10-02 10:00:00+01:00,2024-10-02 08:30:00+00:00,2024-10-02 09:00:00+00:00,balancing_physical,Elexon balancing physical positions,False,T_KTHLW-1,KTHLW-1,KEITH HILL WINDFARM,Statkraft Markets Gmbh,WIND,T,,,4.54,unmapped,none,,,,,0.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,QPN,0.0,True,pn_qpn_physical_max,False
2024-10-02,20,2024-10-02 09:30:00+01:00,2024-10-02 10:00:00+01:00,2024-10-02 08:30:00+00:00,2024-10-02 09:00:00+00:00,balancing_physical,Elexon balancing physical positions,False,T_KYPEW-1,KYPEW-1,KYPE MUIR EXT WIND FARM,Kype Extension Wind Farm Ltd,WIND,T,,,67.0,unmapped,none,,,,,12.196,22.0,25.0,23.5,11.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,67.0,67.0,67.0,33.5,PN,11.75,True,pn_qpn_physical_max,False
2024-10-02,20,2024-10-02 09:30:00+01:00,2024-10-02 10:00:00+01:00,2024-10-02 08:30:00+00:00,2024-10-02 09:00:00+00:00,balancing_physical,Elexon balancing physical positions,False,T_LARYW-1,LARYO-1,London Array BMU1,London Array Limited,WIND,T,,,171.0,unmapped,none,,,,,57.02,74.0,74.0,74.0,37.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,151.0,151.0,151.0,75.5,PN,37.0,True,pn_qpn_physical_max,False
2024-10-02,20,2024-10-02 09:30:00+01:00,2024-10-02 10:00:00+01:00,2024-10-02 08:30:00+00:00,2024-10-02 09:00:00+00:00,balancing_physical,Elexon balancing physical positions,False,T_LARYW-2,LARYO-2,London Array BMU2,London Array Limited,WIND,T,,,171.0,unmapped,none,,,,,59.04,74.0,74.0,74.0,37.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,158.0,158.0,158.0,79.0,PN,37.0,True,pn_qpn_physical_max,False
2024-10-02,20,2024-10-02 09:30:00+01:00,2024-10-02 10:00:00+01:00,2024-10-02 08:30:00+00:00,2024-10-02 09:00:00+00:00,balancing_physical,Elexon balancing physical positions,False,T_LARYW-3,LARYO-3,London Array BMU3,London Array Limited,WIND,T,,,171.0,unmapped,none,,,,,58.54,74.0,74.0,74.0,37.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,154.0,154.0,154.0,77.0,PN,37.0,True,pn_qpn_physical_max,False
2024-10-02,20,2024-10-02 09:30:00+01:00,2024-10-02 10:00:00+01:00,2024-10-02 08:30:00+00:00,2024-10-02 09:00:00+00:00,balancing_physical,Elexon balancing physical positions,False,T_LARYW-4,LARYO-4,London Array BMU4,London Array Limited,WIND,T,,,191.099,unmapped,none,,,,,57.74,72.0,72.0,72.0,36.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,154.0,154.0,154.0,77.0,PN,36.0,True,pn_qpn_physical_max,False
2024-10-02,20,2024-10-02 09:30:00+01:00,2024-10-02 10:00:00+01:00,2024-10-02 08:30:00+00:00,2024-10-02 09:00:00+00:00,balancing_physical,Elexon balancing physical positions,False,T_LIMKW-1,LIMKW-1,Limekiln Wind Farm,Limekiln Extension Ltd,WIND,T,,,106.0,unmapped,none,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,QPN,0.0,True,pn_qpn_physical_max,False
2024-10-02,20,2024-10-02 09:30:00+01:00,2024-10-02 10:00:00+01:00,2024-10-02 08:30:00+00:00,2024-10-02 09:00:00+00:00,balancing_physical,Elexon balancing physical positions,False,T_LNCSW-1,LNCSO-1,Lincs wind farm offshore BMU1,Lincs Wind Farm Ltd,WIND,T,,,150.0,unmapped,none,,,,,62.979,124.0,124.0,124.0,62.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,128.0,128.0,128.0,64.0,PN,62.0,True,pn_qpn_physical_max,False
2024-10-02,20,2024-10-02 09:30:00+01:00,2024-10-02 10:00:00+01:00,2024-10-02 08:30:00+00:00,2024-10-02 09:00:00+00:00,balancing_physical,Elexon balancing physical positions,False,T_LNCSW-2,LNCSO-2,Lincs wind farm offshore BMU2,Lincs Wind Farm Ltd,WIND,T,,,150.0,unmapped,none,,,,,69.334,132.0,132.0,132.0,66.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,137.0,137.0,137.0,68.5,PN,66.0,True,pn_qpn_physical_max,False
2024-10-02,20,2024-10-02 09:30:00+01:00,2024-10-02 10:00:00+01:00,2024-10-02 08:30:00+00:00,2024-10-02 09:00:00+00:00,balancing_physical,Elexon balancing physical positions,False,T_MIDMW-1,MIDMW-1,MIDDLE MUIR WIND FARM,OnPath Energy Limited,WIND,T,,,51.0,unmapped,none,,,,,7.731,15.0,17.0,16.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,50.0,50.0,25.0,PN,8.0,True,pn_qpn_physical_max,True
2024-10-02,20,2024-10-02 09:30:00+01:00,2024-10-02 10:00:00+01:00,2024-10-02 08:30:00+00:00,2024-10-02 09:00:00+00:00,balancing_physical,Elexon balancing physical positions,False,T_MILWW-1,MILWW-1,MILWW,Millennium Wind Energy Ltd,WIND,T,,,65.0,unmapped,none,,,,,1.58,7.0,7.0,7.0,3.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,65.0,65.0,65.0,32.5,PN,3.5,True,pn_qpn_physical_max,True
