settlement_date,elexon_bm_unit,national_grid_bm_unit,cluster_key,cluster_label,parent_region,mapping_status,dispatch_half_hour_count,estimated_dispatch_half_hour_count,blocked_dispatch_half_hour_count,accepted_down_delta_mwh_lower_bound,physical_dispatch_down_increment_mwh_lower_bound,estimated_dispatch_down_mwh_lower_bound,blocked_dispatch_down_mwh_lower_bound,blocked_outage_dispatch_down_mwh_lower_bound,blocked_availability_unknown_dispatch_down_mwh_lower_bound,blocked_physical_below_generation_dispatch_down_mwh_lower_bound,blocked_physical_inconsistent_dispatch_down_mwh_lower_bound,lost_energy_mwh,dispatch_alignment_state,primary_dispatch_block_reason
2024-10-03,T_RCBKO-1,RCBKO-1,humber_offshore,Humber Offshore,England/Wales,mapped,48,20,28,0.0,1672.0,733.75,938.25,0.0,0.0,938.25,0.0,178.75,partially_blocked,physical_below_generation
2024-10-03,T_KLGLW-1,KLGLW-1,,,,unmapped,48,22,26,0.0,1791.5,864.0,927.5,0.0,0.0,927.5,0.0,162.417,partially_blocked,physical_below_generation
2024-10-03,T_RCBKO-2,RCBKO-2,humber_offshore,Humber Offshore,England/Wales,mapped,48,20,28,0.0,1655.75,736.75,919.0,0.0,0.0,919.0,0.0,171.043,partially_blocked,physical_below_generation
2024-10-03,T_HOWAO-2,HOWAO-2,dogger_hornsea_offshore,Dogger and Hornsea Offshore,England/Wales,mapped,48,30,18,0.0,2097.0,1189.75,907.25,0.0,0.0,907.25,0.0,473.49,partially_blocked,physical_below_generation
2024-10-03,T_LARYW-2,LARYO-2,,,,unmapped,48,21,27,0.0,1274.0,578.5,695.5,0.0,0.0,695.5,0.0,127.75,partially_blocked,physical_below_generation
2024-10-03,T_GANW-24,GAOFO-4,,,,unmapped,48,23,25,0.0,1060.0,402.5,657.5,0.0,0.0,406.0,251.5,61.510000000000005,partially_blocked,physical_below_generation
2024-10-03,T_PNYCW-1,PNYCW-1,,,England/Wales,region_only,48,9,39,0.0,709.0,60.75,648.25,0.0,0.0,648.25,0.0,11.815000000000001,partially_blocked,physical_below_generation
2024-10-03,T_TKNWW-1,TKNWW-1,humber_offshore,Humber Offshore,England/Wales,mapped,48,14,34,0.0,1565.5,927.0,638.5,0.0,0.0,638.5,0.0,255.18200000000002,partially_blocked,physical_below_generation
2024-10-03,T_WTMSO-1,WTMSO-1,,,,unmapped,48,24,24,0.0,1082.0,464.25,617.75,0.0,0.0,617.75,0.0,72.356,partially_blocked,physical_below_generation
2024-10-03,T_HMGTO-2,HMGTO-2,,,,unmapped,48,11,37,0.0,739.5,131.5,608.0,0.0,0.0,608.0,0.0,39.452,partially_blocked,physical_below_generation
2024-10-03,T_LARYW-1,LARYO-1,,,,unmapped,48,25,23,0.0,1249.0,642.5,606.5,0.0,0.0,606.5,0.0,152.55,partially_blocked,physical_below_generation
2024-10-03,T_LNCSW-2,LNCSO-2,,,,unmapped,48,14,34,0.0,796.0,218.25,577.75,0.0,0.0,577.75,0.0,52.35999999999999,partially_blocked,physical_below_generation
2024-10-03,T_LNCSW-1,LNCSO-1,,,,unmapped,48,13,35,0.0,714.75,166.25,548.5,0.0,0.0,548.5,0.0,31.424,partially_blocked,physical_below_generation
2024-10-03,T_THNTO-1,THNTO-1,,,,unmapped,48,0,48,0.0,532.25,0.0,532.25,0.0,0.0,532.25,0.0,0.0,fully_blocked,physical_below_generation
2024-10-03,T_THNTO-2,THNTO-2,,,,unmapped,48,0,48,0.0,532.25,0.0,532.25,0.0,0.0,532.25,0.0,0.0,fully_blocked,physical_below_generation
2024-10-03,T_SOKYW-1,SOKYW-1,,,,unmapped,48,0,48,0.0,523.0,0.0,523.0,0.0,0.0,523.0,0.0,0.0,fully_blocked,physical_below_generation
2024-10-03,T_HOWAO-1,HOWAO-1,dogger_hornsea_offshore,Dogger and Hornsea Offshore,England/Wales,mapped,48,36,12,0.0,2053.5,1566.25,487.25,0.0,0.0,487.25,0.0,625.281,partially_blocked,physical_below_generation
2024-10-03,T_BRBEO-1,BRBEO-1,,,,unmapped,48,27,21,0.0,1022.5,552.0,470.5,0.0,0.0,470.5,0.0,150.96300000000002,partially_blocked,physical_below_generation
2024-10-03,T_DDGNO-4,DDGNO-4,,,,unmapped,48,18,30,0.0,719.5,280.0,439.5,0.0,0.0,439.5,0.0,67.381,partially_blocked,physical_below_generation
2024-10-03,T_HOWBO-2,HOWBO-2,dogger_hornsea_offshore,Dogger and Hornsea Offshore,England/Wales,mapped,48,35,13,0.0,2161.0,1740.25,420.75,0.0,0.0,420.75,0.0,718.462,partially_blocked,physical_below_generation
2024-10-03,T_GANW-11,GAOFO-1,,,,unmapped,48,28,20,0.0,1053.0,638.5,414.5,0.0,0.0,414.5,0.0,79.043,partially_blocked,physical_below_generation
